Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
106.153,82.124,11.18,2.95,75.65,900.7,917.9,115.7,104.8,145.7,891.5,8.83,18.73,4
106.323,80.617,6.864,3.16,74.82,885.3491143716951,895.3,127.3,93.1,145.9,933.1,8.83,18.73,1
105.937,81.497,6.084,2.84,75.65,904.9,920.3,116.3,106.2,145.8,917,9.06,18.51,4
106.124,81.251,6.968,3.25,74.8,909.2,923.9,117.2,105.3,145.7,912,8.8,18.77,2
105.505,81.343,6.864,3.2054351522598257,74.83,919.9218877161704,918.2,120.5,104.9,146.1,882.3,8.85,18.73,1
106.013,81.152,6.188,3.29,75.75,897.7,916,117.5,106.1,145.8,891.3,8.82,18.74,3
105.945,81.215,6.188,3.44,75.73,895.9,913.6,110.6,102.4,147,870.8,8.72,18.85,3
106.419,81.42,6.968,3.23,74.8,880.6,898.3,118.1,104.8,145.7,911.1,8.78,18.78,2
106.27513604643924,81.402,6.968,3.190415535998101,74.82,908.6,904,118.4,106.7,145.6,933.1,8.85,18.71,1
105.87,80.84,6.968,3.23,74.83,918.8,935.8,119.6,108.3,145.9,923.6,8.86,18.71,2
106.08,82.051,11.128,2.88,75.63,901.1,917.3,118.7,107.5,145.9,913.1,8.93,18.64,4
106.096,81.382,6.084,2.9,75.66,904.4,919.5,116,106.6,145.8,895.4,8.9,18.67,4
106.116,81.484,6.136,2.87,75.62,903.1,920.3,118.4,105.6,145.5,896,8.95,18.62,4
105.505,80.784,6.292,5.09,75.75,897.4,916.2,101.9,83.6,145.8,836.7,8.65,18.92,3
106.44385647380425,80.411,6.864,3.185705288007666,74.82,908.6,935.9,104.6,106.4830774509816,145.9,930.5,8.81,18.73,1
106.46058806551189,81.437,6.864,3.198863133065032,74.81,878.8286026055946,904,116.9,106.2,145.8,933.1,8.83,18.8,1
106.45793634160532,81.437,6.864,3.2,74.82,879.6050120992952,918.2,120.5,106.4886616968984,147,926.5,8.8,18.71,1
106.46087911926656,81.343,6.864,3.2,74.83,879.7713581228653,919.9,120.5,104.3,146.7,874.6,8.83,18.98,1
141.136,80.947,6.968,3.13,74.8,921,936.7,123.8,110,145.6,918,8.86,18.71,2
106.237,81.402,6.864,3.193873344,74.81,920.0222593207944,895.3,113.9,106.50513614485487,146,920.2,8.85,18.73,1
105.505,81.027,6.864,3.180290956323508,74.82,908.6,935.9,120.5,106.2,145.9,882.3,8.83,18.89,1
105.905,81.208,6.292,3.32,75.71,891.7,912.7,115.7,101.7,144.9,895.7,8.9,18.67,4
105.944,81.027,6.864,3.82,74.81,901.6,918.2,118.4,88.9,145.8,922.3,8.8,18.77,1
105.944,81.343,6.968,3.187706628113244,74.83,920.0399697635548,902.3469020718716,113.9,107.3,145.9,874.6,8.8,18.73,1
106.083,81.421,6.188,2.83,75.64,903.5,919.7,120.2,108,144.9,914.4,8.98,18.59,4
106.227,81.305,6.968,3.2,74.81,919.3,936.3,113.6,105.1,146,914.9,8.82,18.75,2
106.105,81.468,6.084,2.84,75.63,906,919.7,119.9,107.6,145.6,917,8.97,18.6,4
106.138,82.007,11.128,2.95,75.66,901.6,917.9,117.8,102.5,146.1,883.2,8.81,18.76,4
